Frame,TailAngle,Condition,Fish ID,Trial
107,0.862932401,TRUN,TRUN12,6
108,0.861983085,TRUN,TRUN12,6
109,0.861461707,TRUN,TRUN12,6
110,0.83916727,TRUN,TRUN12,6
111,0.838499957,TRUN,TRUN12,6
112,0.803296735,TRUN,TRUN12,6
113,0.808045973,TRUN,TRUN12,6
114,0.778274242,TRUN,TRUN12,6
115,0.762645994,TRUN,TRUN12,6
116,0.735803646,TRUN,TRUN12,6
117,0.73193537,TRUN,TRUN12,6
118,0.717614035,TRUN,TRUN12,6
119,0.698090624,TRUN,TRUN12,6
120,0.689181898,TRUN,TRUN12,6
121,0.661973936,TRUN,TRUN12,6
122,0.651288866,TRUN,TRUN12,6
123,0.63131233,TRUN,TRUN12,6
124,0.612891224,TRUN,TRUN12,6
125,0.591265093,TRUN,TRUN12,6
126,0.591998314,TRUN,TRUN12,6
127,0.57304928,TRUN,TRUN12,6
128,0.574466045,TRUN,TRUN12,6
129,0.553535764,TRUN,TRUN12,6
130,0.530026244,TRUN,TRUN12,6
131,0.517205268,TRUN,TRUN12,6
132,0.51167339,TRUN,TRUN12,6
133,0.484753762,TRUN,TRUN12,6
134,0.480274573,TRUN,TRUN12,6
135,0.462000797,TRUN,TRUN12,6
136,0.449805239,TRUN,TRUN12,6
137,0.417585406,TRUN,TRUN12,6
138,0.418422036,TRUN,TRUN12,6
139,0.385440899,TRUN,TRUN12,6
140,0.347050812,TRUN,TRUN12,6
141,0.322618727,TRUN,TRUN12,6
142,0.316422282,TRUN,TRUN12,6
143,0.316815255,TRUN,TRUN12,6
144,0.305823699,TRUN,TRUN12,6
145,0.299392083,TRUN,TRUN12,6
146,0.283042375,TRUN,TRUN12,6
147,0.290437199,TRUN,TRUN12,6
148,0.279397662,TRUN,TRUN12,6
149,0.266270654,TRUN,TRUN12,6
150,0.289261911,TRUN,TRUN12,6
151,0.258675589,TRUN,TRUN12,6
152,0.129813055,TRUN,TRUN12,6
153,0.275013645,TRUN,TRUN12,6
154,0.256440043,TRUN,TRUN12,6
155,0.284999846,TRUN,TRUN12,6
156,0.273554897,TRUN,TRUN12,6
157,0.268608778,TRUN,TRUN12,6
158,0.29516956,TRUN,TRUN12,6
159,0.296359069,TRUN,TRUN12,6
160,0.304846554,TRUN,TRUN12,6
161,0.321148882,TRUN,TRUN12,6
162,0.330436802,TRUN,TRUN12,6
163,0.344501,TRUN,TRUN12,6
164,0.372698411,TRUN,TRUN12,6
165,0.426443981,TRUN,TRUN12,6
166,-0.380940429,TRUN,TRUN12,6
167,0.344157722,TRUN,TRUN12,6
168,0.40784417,TRUN,TRUN12,6
169,0.444200866,TRUN,TRUN12,6
170,0.584750809,TRUN,TRUN12,6
171,0.584750809,TRUN,TRUN12,6
