Frame,TailAngle,Condition,Fish ID,Trial,Percentage,Duration
45,-0.957766017,MED,MED1,4,0.412844037,
46,-0.938337225,MED,MED1,4,0.422018349,
47,-0.940869868,MED,MED1,4,0.431192661,
48,-0.894089831,MED,MED1,4,0.440366972,
49,-0.968517386,MED,MED1,4,0.449541284,
50,-0.947002374,MED,MED1,4,0.458715596,
51,-0.932584029,MED,MED1,4,0.467889908,
52,-0.937182391,MED,MED1,4,0.47706422,
53,-0.930912371,MED,MED1,4,0.486238532,
54,-0.885413523,MED,MED1,4,0.495412844,
55,-0.88649769,MED,MED1,4,0.504587156,
56,-0.822315927,MED,MED1,4,0.513761468,
57,-0.821345441,MED,MED1,4,0.52293578,
58,-0.814475653,MED,MED1,4,0.532110092,
59,-0.822421978,MED,MED1,4,0.541284404,
60,-0.790220861,MED,MED1,4,0.550458716,
61,-0.752839018,MED,MED1,4,0.559633028,
62,-0.742903852,MED,MED1,4,0.568807339,
63,-0.724882304,MED,MED1,4,0.577981651,
64,-0.722503489,MED,MED1,4,0.587155963,
65,-0.70337997,MED,MED1,4,0.596330275,
66,-0.671432331,MED,MED1,4,0.605504587,
67,-0.64554492,MED,MED1,4,0.614678899,
68,-0.629312212,MED,MED1,4,0.623853211,
69,-0.62065683,MED,MED1,4,0.633027523,
70,-0.569891912,MED,MED1,4,0.642201835,
71,-0.569525074,MED,MED1,4,0.651376147,
72,-0.533554887,MED,MED1,4,0.660550459,
73,-0.52157537,MED,MED1,4,0.669724771,
74,-0.518842132,MED,MED1,4,0.678899083,
75,-0.476590217,MED,MED1,4,0.688073394,
76,-0.46248452,MED,MED1,4,0.697247706,
77,-0.446307223,MED,MED1,4,0.706422018,
78,-0.439150336,MED,MED1,4,0.71559633,
79,-0.433289338,MED,MED1,4,0.724770642,
80,-0.426757259,MED,MED1,4,0.733944954,
81,-0.364353522,MED,MED1,4,0.743119266,
82,-0.34671608,MED,MED1,4,0.752293578,
83,-0.325219698,MED,MED1,4,0.76146789,
84,-0.300725759,MED,MED1,4,0.770642202,
85,-0.283887656,MED,MED1,4,0.779816514,
86,-0.276273211,MED,MED1,4,0.788990826,
87,-0.27157605,MED,MED1,4,0.798165138,
88,-0.248317063,MED,MED1,4,0.80733945,
89,-0.217997179,MED,MED1,4,0.816513761,
90,-0.192719267,MED,MED1,4,0.825688073,
91,-0.162811549,MED,MED1,4,0.834862385,
92,-0.167062248,MED,MED1,4,0.844036697,
93,-0.158270903,MED,MED1,4,0.853211009,
94,-0.106972134,MED,MED1,4,0.862385321,
95,-0.091239638,MED,MED1,4,0.871559633,
96,-0.108791247,MED,MED1,4,0.880733945,
97,-0.071387843,MED,MED1,4,0.889908257,
98,-0.065392778,MED,MED1,4,0.899082569,
99,-0.050583419,MED,MED1,4,0.908256881,
100,-0.04943656,MED,MED1,4,0.917431193,
101,-0.034645718,MED,MED1,4,0.926605505,
